  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.89774367e-04   4.89313240e-05   9.10302429e+00   1.47323119e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   9.35350407e-04   1.08667591e-04   7.07348586e+00   1.30900457e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   1.75946876e-03   1.73070738e-04   6.18500059e+00   1.21924659e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   2.71507117e-03   2.25988264e-04   5.66848556e+00   1.15797562e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   3.78896924e-03   2.63665255e-04   5.32790294e+00   1.11154419e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   4.95089686e-03   2.61304678e-04   5.08838924e+00   1.07419561e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   6.19696999e-03   2.10190405e-04   4.90967014e+00   1.04293465e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   7.54916547e-03   1.19605580e-04   4.76870379e+00   1.01630454e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   9.08486244e-03   3.30434423e-05   4.65421028e+00   9.93992907e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.08773649e-02  -1.31547132e-05   4.56443248e+00   9.75493347e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.29282568e-02  -1.67840585e-05   4.49605743e+00   9.59989371e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   1.51806901e-02   6.70369070e-06   4.44736834e+00   9.46758955e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   1.75992951e-02   5.93162016e-05   4.41298960e+00   9.35619746e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.01757073e-02   1.42303971e-04   4.38904072e+00   9.26251224e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   2.28538245e-02   2.18046358e-04   4.37593733e+00   9.17799050e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   2.55345353e-02   2.40749294e-04   4.36985154e+00   9.09407152e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   2.81866649e-02   2.09173957e-04   4.36273310e+00   9.01195966e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   3.08856947e-02   1.52060031e-04   4.35074515e+00   8.93980652e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   3.37380871e-02   8.37528740e-05   4.33730278e+00   8.88088404e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   3.67929717e-02   1.15026010e-05   4.32836251e+00   8.83141164e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   4.00219088e-02  -4.22611205e-05   4.32700086e+00   8.78593460e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   4.33868283e-02  -5.06875666e-05   4.33142536e+00   8.74418717e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   4.68955227e-02  -4.40611843e-06   4.33999292e+00   8.70971038e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   5.05386681e-02   7.50790916e-05   4.35519698e+00   8.68021886e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   5.42206286e-02   1.47867292e-04   4.37779001e+00   8.64726276e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   5.78402801e-02   1.93230272e-04   4.40218229e+00   8.60731564e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   6.13899327e-02   2.12795663e-04   4.42175085e+00   8.56545547e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   6.49097721e-02   1.96998374e-04   4.43656260e+00   8.52507210e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   6.84161761e-02   1.33400889e-04   4.44858871e+00   8.48357786e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   7.19267410e-02   4.39846336e-05   4.45810534e+00   8.44374362e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   7.54970952e-02  -2.72682471e-05   4.46595213e+00   8.41156737e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   7.91910035e-02  -5.58568306e-05   4.47538942e+00   8.38920139e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   8.30251038e-02  -4.41051053e-05   4.49089313e+00   8.37387633e+00
 3.40000000e-01   0.00000000e+00   1.00000000e+00   8.69407307e-02  -1.29357897e-06   4.51484733e+00   8.35999843e+00
 3.50000000e-01   0.00000000e+00   1.00000000e+00   9.08321516e-02   6.59375440e-05   4.54498136e+00   8.34327320e+00
 3.60000000e-01   0.00000000e+00   1.00000000e+00   9.46287405e-02   1.43382369e-04   4.57516835e+00   8.32376704e+00
 3.70000000e-01   0.00000000e+00   1.00000000e+00   9.83384348e-02   2.00601426e-04   4.60148661e+00   8.30428136e+00
 3.80000000e-01   0.00000000e+00   1.00000000e+00   1.01987179e-01   2.07876145e-04   4.62449655e+00   8.28533862e+00
 3.90000000e-01   0.00000000e+00   1.00000000e+00   1.05564711e-01   1.64012872e-04   4.64534881e+00   8.26405544e+00
 4.00000000e-01   0.00000000e+00   1.00000000e+00   1.09072416e-01   9.50761248e-05   4.66282044e+00   8.24224689e+00
 4.10000000e-01   0.00000000e+00   1.00000000e+00   1.12572364e-01   2.49601415e-05   4.67643801e+00   8.22538175e+00
 4.20000000e-01   0.00000000e+00   1.00000000e+00   1.16142493e-01  -3.56294985e-05   4.69003260e+00   8.21599491e+00
 4.30000000e-01   0.00000000e+00   1.00000000e+00   1.19806756e-01  -7.07228312e-05   4.70872951e+00   8.21322227e+00
 4.40000000e-01   0.00000000e+00   1.00000000e+00   1.23527291e-01  -5.78961749e-05   4.73508867e+00   8.21432689e+00
 4.50000000e-01   0.00000000e+00   1.00000000e+00   1.27249492e-01   3.53487357e-06   4.76725723e+00   8.21724678e+00
 4.60000000e-01   0.00000000e+00   1.00000000e+00   1.30932655e-01   8.41314615e-05   4.80321683e+00   8.21987931e+00
 4.70000000e-01   0.00000000e+00   1.00000000e+00   1.34528273e-01   1.50615267e-04   4.83993528e+00   8.21846107e+00
 4.80000000e-01   0.00000000e+00   1.00000000e+00   1.37964918e-01   1.86441376e-04   4.87574978e+00   8.21121228e+00
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.41202858e-01   1.87233322e-04   4.90703107e+00   8.19972100e+00
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.44287736e-01   1.50436798e-04   4.93010374e+00   8.18746029e+00
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.47309166e-01   7.93747174e-05   4.94810589e+00   8.17997603e+00
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.50317516e-01  -3.69551993e-06   4.96629665e+00   8.17634921e+00
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.53305990e-01  -6.25752059e-05   4.98829953e+00   8.17567822e+00
 5.40000000e-01   0.00000000e+00   1.00000000e+00   1.56253369e-01  -7.47598647e-05   5.01386017e+00   8.17727432e+00
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.59150364e-01  -4.50834579e-05   5.04302841e+00   8.18317178e+00
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.61979918e-01   1.13520922e-05   5.07543031e+00   8.19086088e+00
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.64688725e-01   8.30332602e-05   5.11088960e+00   8.19708107e+00
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.67199468e-01   1.52427241e-04   5.14598433e+00   8.19759745e+00
 5.90000000e-01   0.00000000e+00   1.00000000e+00   1.69465167e-01   1.91265550e-04   5.17588492e+00   8.19209085e+00
 6.00000000e-01   0.00000000e+00   1.00000000e+00   1.71504237e-01   1.79679588e-04   5.19728810e+00   8.18321147e+00
 6.10000000e-01   0.00000000e+00   1.00000000e+00   1.73371033e-01   1.24251384e-04   5.21175215e+00   8.17443887e+00
 6.20000000e-01   0.00000000e+00   1.00000000e+00   1.75110865e-01   5.03840730e-05   5.22274835e+00   8.16808737e+00
 6.30000000e-01   0.00000000e+00   1.00000000e+00   1.76763937e-01  -1.79787620e-05   5.23249094e+00   8.16556866e+00
 6.40000000e-01   0.00000000e+00   1.00000000e+00   1.78381937e-01  -6.54673070e-05   5.24323169e+00   8.16918053e+00
 6.50000000e-01   0.00000000e+00   1.00000000e+00   1.79994011e-01  -7.86409211e-05   5.25840205e+00   8.17837033e+00
