  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.89337163e-04   4.88138124e-05   9.19439744e+00   1.47388071e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   9.34836636e-04   1.08485289e-04   7.14014996e+00   1.31008891e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   1.75969365e-03   1.72930683e-04   6.24364928e+00   1.22067298e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   2.71601176e-03   2.25887124e-04   5.72257036e+00   1.15941465e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   3.79071417e-03   2.63646578e-04   5.37837392e+00   1.11302456e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   4.95354224e-03   2.61407633e-04   5.13695545e+00   1.07581157e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   6.20055998e-03   2.10482569e-04   4.95642371e+00   1.04450223e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   7.55375860e-03   1.20072443e-04   4.81440241e+00   1.01781112e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   9.09060434e-03   3.35481034e-05   4.69834364e+00   9.95400954e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.08844459e-02  -1.27640341e-05   4.60715509e+00   9.76831125e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.29368063e-02  -1.65578483e-05   4.53771476e+00   9.61247208e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   1.51905485e-02   6.82269664e-06   4.48855078e+00   9.47991079e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   1.76100840e-02   5.93226998e-05   4.45342860e+00   9.36796733e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.01871452e-02   1.42189193e-04   4.42906796e+00   9.27310692e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   2.28658986e-02   2.17925008e-04   4.41543063e+00   9.18809697e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   2.55476581e-02   2.40785861e-04   4.40901916e+00   9.10398434e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   2.82015222e-02   2.09419944e-04   4.40121190e+00   9.02185709e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   3.09026307e-02   1.52434126e-04   4.38884272e+00   8.94911248e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   3.37566124e-02   8.41869839e-05   4.37486695e+00   8.88925294e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   3.68121810e-02   1.19621365e-05   4.36552134e+00   8.83866092e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   4.00413916e-02  -4.18401781e-05   4.36359990e+00   8.79217328e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   4.34066478e-02  -5.04000044e-05   4.36755994e+00   8.74972071e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   4.69154365e-02  -4.31320757e-06   4.37602612e+00   8.71453754e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   5.05579787e-02   7.50183260e-05   4.39090862e+00   8.68441067e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   5.42387850e-02   1.47779278e-04   4.41327287e+00   8.65074616e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   5.78570495e-02   1.93221909e-04   4.43754052e+00   8.61064484e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   6.14050439e-02   2.12887187e-04   4.45697819e+00   8.56847115e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   6.49230216e-02   1.97213938e-04   4.47145817e+00   8.52718650e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   6.84277203e-02   1.33792799e-04   4.48325166e+00   8.48526000e+00
