  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   7.89666216e-04   1.13663161e-05   1.07687553e+00   3.90801381e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   2.63852617e-03  -1.82959606e-05   1.70122644e+00   4.12480237e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   5.02263837e-03  -9.04249837e-05   1.75450649e+00   3.97748741e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   7.73789500e-03  -1.64639690e-04   1.75429943e+00   3.66066577e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   1.06199860e-02  -2.29335048e-04   1.66801740e+00   3.17291603e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   1.34546144e-02  -2.63249049e-04   1.51715011e+00   2.57628861e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   1.62010528e-02  -2.42898682e-04   1.28954323e+00   1.97976806e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.92869534e-02  -1.47368346e-04   1.10634772e+00   1.46817508e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   2.37292522e-02   1.81728570e-05   1.05465565e+00   1.08548347e+01
 1.00000000e-01   0.00000000e+00   1.00000000e+00   3.03371735e-02   1.93606730e-04   1.09808047e+00   8.42828734e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   3.87844376e-02   3.08184912e-04   1.18937106e+00   7.17069593e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   4.79703019e-02   3.32672391e-04   1.31061381e+00   6.71691692e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   5.73206734e-02   2.83494568e-04   1.45507960e+00   6.66450844e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   6.69820572e-02   1.69305983e-04   1.62985137e+00   6.65592885e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   7.68118450e-02  -2.53785520e-06   1.81766559e+00   6.50547248e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   8.62509314e-02  -1.76512583e-04   1.95111543e+00   6.06036660e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   9.51320985e-02  -2.69217968e-04   1.98029592e+00   5.30981489e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   1.03673209e-01  -2.46775756e-04   1.90845803e+00   4.31561851e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   1.11987780e-01  -1.39312421e-04   1.75381666e+00   3.16826546e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   1.20177052e-01   1.57261524e-05   1.54239959e+00   2.00246958e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   1.28430590e-01   1.88974402e-04   1.30542067e+00   9.55652436e-01
 2.20000000e-01   0.00000000e+00   1.00000000e+00   1.36840579e-01   3.35321820e-04   1.07139071e+00   1.14912639e-01
 2.30000000e-01   0.00000000e+00   1.00000000e+00   1.45344515e-01   4.00356126e-04   8.66374154e-01  -4.69678939e-01
 2.40000000e-01   0.00000000e+00   1.00000000e+00   1.53536401e-01   3.51388742e-04   7.23007068e-01  -7.86093374e-01
 2.50000000e-01   0.00000000e+00   1.00000000e+00   1.60558021e-01   2.06413281e-04   6.92394934e-01  -8.37243565e-01
 2.60000000e-01   0.00000000e+00   1.00000000e+00   1.65785928e-01   3.15648734e-05   7.86389326e-01  -6.54160936e-01
 2.70000000e-01   0.00000000e+00   1.00000000e+00   1.69522430e-01  -1.12599076e-04   9.50617058e-01  -2.78967511e-01
 2.80000000e-01   0.00000000e+00   1.00000000e+00   1.72632951e-01  -2.02926232e-04   1.11921713e+00   1.96654791e-01
 2.90000000e-01   0.00000000e+00   1.00000000e+00   1.75729494e-01  -2.18219226e-04   1.26532880e+00   6.65532664e-01
 3.00000000e-01   0.00000000e+00   1.00000000e+00   1.78914098e-01  -1.33836153e-04   1.38195540e+00   1.03758977e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   1.82184374e-01   2.81989559e-05   1.45135101e+00   1.24176196e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   1.85838534e-01   1.96658774e-04   1.45967517e+00   1.27209870e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   1.90251882e-01   3.06935261e-04   1.41353561e+00   1.15503891e+00
 3.40000000e-01   0.00000000e+00   1.00000000e+00   1.95381485e-01   3.34592266e-04   1.33615711e+00   9.39655650e-01
 3.50000000e-01   0.00000000e+00   1.00000000e+00   2.00813222e-01   2.83346245e-04   1.25208155e+00   6.95883400e-01
 3.60000000e-01   0.00000000e+00   1.00000000e+00   2.06221537e-01   1.65325136e-04   1.17766720e+00   4.89748189e-01
 3.70000000e-01   0.00000000e+00   1.00000000e+00   2.11477875e-01   5.35870214e-06   1.12731894e+00   3.70392991e-01
 3.80000000e-01   0.00000000e+00   1.00000000e+00   2.16419563e-01  -1.44218553e-04   1.12006030e+00   3.64031805e-01
 3.90000000e-01   0.00000000e+00   1.00000000e+00   2.20971657e-01  -2.20224873e-04   1.16296642e+00   4.79533720e-01
 4.00000000e-01   0.00000000e+00   1.00000000e+00   2.25544090e-01  -1.94316567e-04   1.23537394e+00   7.02776754e-01
 4.10000000e-01   0.00000000e+00   1.00000000e+00   2.30876161e-01  -9.10784593e-05   1.31191678e+00   9.81202626e-01
 4.20000000e-01   0.00000000e+00   1.00000000e+00   2.37347811e-01   4.50095987e-05   1.38872082e+00   1.24000320e+00
 4.30000000e-01   0.00000000e+00   1.00000000e+00   2.44636948e-01   1.80604762e-04   1.46412013e+00   1.41123652e+00
 4.40000000e-01   0.00000000e+00   1.00000000e+00   2.52017678e-01   2.81796043e-04   1.51569234e+00   1.45107023e+00
 4.50000000e-01   0.00000000e+00   1.00000000e+00   2.58875649e-01   3.05157325e-04   1.50883184e+00   1.34092161e+00
 4.60000000e-01   0.00000000e+00   1.00000000e+00   2.64991065e-01   2.31496767e-04   1.42179140e+00   1.09143957e+00
 4.70000000e-01   0.00000000e+00   1.00000000e+00   2.70345096e-01   9.28958919e-05   1.25688279e+00   7.30174293e-01
 4.80000000e-01   0.00000000e+00   1.00000000e+00   2.74723727e-01  -5.17990606e-05   1.04237214e+00   2.98659242e-01
 4.90000000e-01   0.00000000e+00   1.00000000e+00   2.77767578e-01  -1.56149078e-04   8.24546426e-01  -1.42850426e-01
 5.00000000e-01   0.00000000e+00   1.00000000e+00   2.79445759e-01  -1.96593254e-04   6.51704129e-01  -5.07005316e-01
 5.10000000e-01   0.00000000e+00   1.00000000e+00   2.80192596e-01  -1.62182978e-04   5.55724206e-01  -7.12040771e-01
 5.20000000e-01   0.00000000e+00   1.00000000e+00   2.80515034e-01  -5.39654280e-05   5.54105789e-01  -7.13343357e-01
 5.30000000e-01   0.00000000e+00   1.00000000e+00   2.80700696e-01   9.79638210e-05   6.51360100e-01  -5.10390069e-01
 5.40000000e-01   0.00000000e+00   1.00000000e+00   2.80883818e-01   2.32841296e-04   8.33246037e-01  -1.34255248e-01
 5.50000000e-01   0.00000000e+00   1.00000000e+00   2.81061560e-01   2.95446433e-04   1.06862275e+00   3.42870083e-01
 5.60000000e-01   0.00000000e+00   1.00000000e+00   2.80924879e-01   2.70775268e-04   1.32211206e+00   8.22545376e-01
 5.70000000e-01   0.00000000e+00   1.00000000e+00   2.79910028e-01   1.76147178e-04   1.54813328e+00   1.20879647e+00
 5.80000000e-01   0.00000000e+00   1.00000000e+00   2.77655228e-01   3.72586208e-05   1.69555352e+00   1.44002791e+00
 5.90000000e-01   0.00000000e+00   1.00000000e+00   2.74406211e-01  -1.11109193e-04   1.73781118e+00   1.50778136e+00
 6.00000000e-01   0.00000000e+00   1.00000000e+00   2.70845329e-01  -2.18053867e-04   1.68679095e+00   1.43235109e+00
 6.10000000e-01   0.00000000e+00   1.00000000e+00   2.67520201e-01  -2.37476703e-04   1.58174124e+00   1.25394498e+00
 6.20000000e-01   0.00000000e+00   1.00000000e+00   2.64580343e-01  -1.60795889e-04   1.46695738e+00   1.03689364e+00
 6.30000000e-01   0.00000000e+00   1.00000000e+00   2.62060824e-01  -2.14293761e-05   1.37395577e+00   8.56535625e-01
 6.40000000e-01   0.00000000e+00   1.00000000e+00   2.60178895e-01   1.31376300e-04   1.31737555e+00   7.76692477e-01
 6.50000000e-01   0.00000000e+00   1.00000000e+00   2.59203047e-01   2.55093010e-04   1.30309266e+00   8.22326023e-01
 6.60000000e-01   0.00000000e+00   1.00000000e+00   2.59115908e-01   3.15226883e-04   1.33663144e+00   9.76448246e-01
 6.70000000e-01   0.00000000e+00   1.00000000e+00   2.59499371e-01   2.85766132e-04   1.41777488e+00   1.19430873e+00
 6.80000000e-01   0.00000000e+00   1.00000000e+00   2.59753231e-01   1.67290329e-04   1.53163584e+00   1.42781491e+00
 6.90000000e-01   0.00000000e+00   1.00000000e+00   2.59424129e-01   1.19118297e-06   1.64169521e+00   1.61763501e+00
 7.00000000e-01   0.00000000e+00   1.00000000e+00   2.58354580e-01  -1.49731415e-04   1.71988968e+00   1.73435159e+00
 7.10000000e-01   0.00000000e+00   1.00000000e+00   2.56628296e-01  -2.37380919e-04   1.75319909e+00   1.76937161e+00
 7.20000000e-01   0.00000000e+00   1.00000000e+00   2.54522868e-01  -2.41532176e-04   1.74022727e+00   1.72674284e+00
 7.30000000e-01   0.00000000e+00   1.00000000e+00   2.52462780e-01  -1.61216037e-04   1.69161018e+00   1.62690041e+00
 7.40000000e-01   0.00000000e+00   1.00000000e+00   2.50754376e-01  -1.42649190e-05   1.62384778e+00   1.49198606e+00
 7.50000000e-01   0.00000000e+00   1.00000000e+00   2.49248660e-01   1.54847440e-04   1.55718430e+00   1.34386634e+00
 7.60000000e-01   0.00000000e+00   1.00000000e+00   2.47404709e-01   2.85272234e-04   1.50765844e+00   1.20654247e+00
 7.70000000e-01   0.00000000e+00   1.00000000e+00   2.44756521e-01   3.30519701e-04   1.48363555e+00   1.11216838e+00
 7.80000000e-01   0.00000000e+00   1.00000000e+00   2.41189748e-01   2.81159324e-04   1.48430441e+00   1.08272013e+00
 7.90000000e-01   0.00000000e+00   1.00000000e+00   2.36722440e-01   1.59903257e-04   1.50711681e+00   1.11386785e+00
 8.00000000e-01   0.00000000e+00   1.00000000e+00   2.31208146e-01   3.98565036e-06   1.54885093e+00   1.18255179e+00
 8.10000000e-01   0.00000000e+00   1.00000000e+00   2.24429703e-01  -1.42185889e-04   1.59944576e+00   1.26621257e+00
 8.20000000e-01   0.00000000e+00   1.00000000e+00   2.16452378e-01  -2.29575269e-04   1.64045759e+00   1.35097783e+00
 8.30000000e-01   0.00000000e+00   1.00000000e+00   2.07766997e-01  -2.22269199e-04   1.65678186e+00   1.42712339e+00
 8.40000000e-01   0.00000000e+00   1.00000000e+00   1.99051299e-01  -1.21608347e-04   1.64606160e+00   1.48484879e+00
 8.50000000e-01   0.00000000e+00   1.00000000e+00   1.90818268e-01   3.31935787e-05   1.61885412e+00   1.52002631e+00
 8.60000000e-01   0.00000000e+00   1.00000000e+00   1.83257095e-01   1.89577960e-04   1.58875793e+00   1.54061305e+00
 8.70000000e-01   0.00000000e+00   1.00000000e+00   1.76271909e-01   3.02394332e-04   1.56570751e+00   1.55715575e+00
 8.80000000e-01   0.00000000e+00   1.00000000e+00   1.69568280e-01   3.38812097e-04   1.55434393e+00   1.58041315e+00
 8.90000000e-01   0.00000000e+00   1.00000000e+00   1.62772812e-01   2.83380163e-04   1.55507081e+00   1.62232747e+00
 9.00000000e-01   0.00000000e+00   1.00000000e+00   1.55646572e-01   1.50613019e-04   1.56231681e+00   1.69321054e+00
 9.10000000e-01   0.00000000e+00   1.00000000e+00   1.48280967e-01  -1.24332307e-05   1.56534467e+00   1.79080762e+00
 9.20000000e-01   0.00000000e+00   1.00000000e+00   1.41050606e-01  -1.46612612e-04   1.55648957e+00   1.89639270e+00
 9.30000000e-01   0.00000000e+00   1.00000000e+00   1.34316655e-01  -2.08860875e-04   1.53808717e+00   1.97902058e+00
 9.40000000e-01   0.00000000e+00   1.00000000e+00   1.28198172e-01  -1.84244928e-04   1.51800800e+00   2.02155747e+00
 9.50000000e-01   0.00000000e+00   1.00000000e+00   1.22677179e-01  -8.13145549e-05   1.49885035e+00   2.02006477e+00
 9.60000000e-01   0.00000000e+00   1.00000000e+00   1.17850065e-01   7.16977933e-05   1.47747562e+00   1.98400638e+00
 9.70000000e-01   0.00000000e+00   1.00000000e+00   1.13901959e-01   2.26756229e-04   1.45408187e+00   1.92655988e+00
 9.80000000e-01   0.00000000e+00   1.00000000e+00   1.10773609e-01   3.28544178e-04   1.43732782e+00   1.85951045e+00
 9.90000000e-01   0.00000000e+00   1.00000000e+00   1.07970505e-01   3.41138115e-04   1.43661541e+00   1.79928756e+00
 1.00000000e+00   0.00000000e+00   1.00000000e+00   1.04794621e-01   2.64707708e-04   1.45159755e+00   1.75185121e+00
 1.01000000e+00   0.00000000e+00   1.00000000e+00   1.00737755e-01   1.28640853e-04   1.47225464e+00   1.71797939e+00
 1.02000000e+00   0.00000000e+00   1.00000000e+00   9.56601935e-02  -2.43237250e-05   1.48797048e+00   1.69585165e+00
