  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   7.04595546e-04   5.90431499e-06   2.20804719e+00   2.34638102e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   2.22689466e-03   3.21968276e-05   2.30132928e+00   1.04921904e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   4.01696464e-03   7.20946381e-05   2.02848856e+00   5.78517547e+00
 4.00000000e-02   0.00000000e+00   1.00000000e+00   5.96427049e-03   1.21140201e-04   1.87201650e+00   4.03611296e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   7.99005089e-03   1.68833387e-04   1.77287632e+00   3.24704246e+00
 6.00000000e-02   0.00000000e+00   1.00000000e+00   9.96121181e-03   2.07848187e-04   1.70254927e+00   2.86367037e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   1.19064814e-02   2.20551900e-04   1.64492095e+00   2.64197870e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.42316547e-02   2.01092741e-04   1.58849708e+00   2.49488436e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.77373331e-02   1.54921495e-04   1.52824903e+00   2.37717884e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   2.28493953e-02   9.60574559e-05   1.48036257e+00   2.27874004e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   2.89742657e-02   4.43642789e-05   1.46964207e+00   2.19903784e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   3.51140678e-02   1.44320809e-05   1.48865863e+00   2.14181298e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   4.10241861e-02   1.42959807e-05   1.50479053e+00   2.10337397e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   4.70547173e-02   4.06940031e-05   1.50862731e+00   2.07166567e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   5.31067235e-02   8.73876803e-05   1.51939323e+00   2.04969257e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   5.87318494e-02   1.38628655e-04   1.54136468e+00   2.03024441e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   6.39288310e-02   1.73169809e-04   1.55509444e+00   2.00739586e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   6.89616352e-02   1.78506754e-04   1.55697983e+00   1.97461630e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   7.39111951e-02   1.54037720e-04   1.55656326e+00   1.93550700e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   7.88756042e-02   1.07683339e-04   1.55481382e+00   1.90261642e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   8.40198435e-02   5.27149061e-05   1.55255698e+00   1.87909193e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   8.93573170e-02   6.48697387e-06   1.55504774e+00   1.86009678e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   9.47703640e-02  -1.55846972e-05   1.56373523e+00   1.84042137e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   9.99003493e-02  -6.00532502e-06   1.58163677e+00   1.82119594e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   1.04098436e-01   3.13273846e-05   1.61052983e+00   1.80628031e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   1.07060952e-01   8.29691387e-05   1.63386971e+00   1.79772896e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   1.09288285e-01   1.31532377e-04   1.63273841e+00   1.79670901e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   1.11557887e-01   1.61620248e-04   1.61146640e+00   1.79640893e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   1.14213938e-01   1.63720976e-04   1.58952760e+00   1.79043549e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   1.17129859e-01   1.35492647e-04   1.57746182e+00   1.77677631e+00
