  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.38595207e-04   3.49008865e-07   1.16505504e-01  -2.79266285e+00
 2.00000000e-02   0.00000000e+00   1.00000000e+00   9.49873985e-04   3.21176746e-05   2.10586073e+00   5.27224575e+00
 3.00000000e-02   0.00000000e+00   1.00000000e+00   2.01484313e-03   9.69146437e-05   1.14184817e+00   3.27949983e+00
 4.00000000e-02   0.00000000e+00   1.00000000e+00   3.27240207e-03   1.67558886e-04   9.61121201e-01   2.83436717e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   4.65419810e-03   2.27772148e-04   8.81462980e-01   2.59735304e+00
 6.00000000e-02   0.00000000e+00   1.00000000e+00   6.09471685e-03   2.66875884e-04   8.36581907e-01   2.45658016e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   7.57014514e-03   2.67819212e-04   8.02592027e-01   2.35628357e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   9.19783622e-03   2.20019780e-04   7.74796899e-01   2.28063444e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.12851307e-02   1.31376002e-04   7.51312937e-01   2.21601460e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.41072413e-02   3.62505674e-05   7.35654018e-01   2.15839231e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.75748767e-02  -2.44387592e-05   7.31697805e-01   2.10585977e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.12950211e-02  -3.60091470e-05   7.37589412e-01   2.06053170e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.50253381e-02  -8.51538271e-06   7.46152660e-01   2.02302653e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.88345980e-02   4.77909321e-05   7.53530028e-01   1.99158140e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.27534695e-02   1.28840928e-04   7.62123959e-01   1.96520349e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   3.66134524e-02   2.09199692e-04   7.72886394e-01   1.94355200e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   4.03190787e-02   2.45878275e-04   7.82415969e-01   1.92626853e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   4.39509124e-02   2.22602566e-04   7.88856078e-01   1.91046497e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   4.75927120e-02   1.60215756e-04   7.93480583e-01   1.89347210e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   5.13024658e-02   8.33712278e-05   7.97415158e-01   1.87500888e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   5.51583777e-02   6.29400828e-06   8.01914642e-01   1.85647875e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   5.91950602e-02  -5.16967735e-05   8.09029368e-01   1.83913963e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   6.33736354e-02  -6.63390444e-05   8.19533957e-01   1.82309822e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   6.75633567e-02  -2.60715720e-05   8.33009197e-01   1.80865901e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   7.15036985e-02   5.43999176e-05   8.47838663e-01   1.79663238e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   7.49758678e-02   1.38626841e-04   8.59612520e-01   1.78771248e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   7.80567133e-02   1.95883920e-04   8.64062980e-01   1.78078279e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   8.10498582e-02   2.18042375e-04   8.62233742e-01   1.77388017e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   8.41809296e-02   2.02220169e-04   8.59230308e-01   1.76627658e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   8.74620155e-02   1.42163217e-04   8.58563516e-01   1.75801959e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   9.08392811e-02   5.18316113e-05   8.59613104e-01   1.74838178e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   9.43783846e-02  -2.97645811e-05   8.60711176e-01   1.73674915e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   9.82123936e-02  -6.99727000e-05   8.63190442e-01   1.72426239e+00
 3.40000000e-01   0.00000000e+00   1.00000000e+00   1.02337420e-01  -6.23854293e-05   8.70275647e-01   1.71298476e+00
 3.50000000e-01   0.00000000e+00   1.00000000e+00   1.06584448e-01  -1.66358934e-05   8.82570859e-01   1.70416270e+00
 3.60000000e-01   0.00000000e+00   1.00000000e+00   1.10792877e-01   5.49289058e-05   8.97198596e-01   1.69768714e+00
 3.70000000e-01   0.00000000e+00   1.00000000e+00   1.14899075e-01   1.35767041e-04   9.11196984e-01   1.69287061e+00
 3.80000000e-01   0.00000000e+00   1.00000000e+00   1.18865617e-01   1.98887505e-04   9.23211718e-01   1.68866572e+00
 3.90000000e-01   0.00000000e+00   1.00000000e+00   1.22678091e-01   2.15478720e-04   9.32421298e-01   1.68437594e+00
 4.00000000e-01   0.00000000e+00   1.00000000e+00   1.26459308e-01   1.77080923e-04   9.38389965e-01   1.67940852e+00
 4.10000000e-01   0.00000000e+00   1.00000000e+00   1.30448091e-01   1.03516408e-04   9.43468259e-01   1.67328961e+00
 4.20000000e-01   0.00000000e+00   1.00000000e+00   1.34780863e-01   2.36678182e-05   9.52166993e-01   1.66589706e+00
 4.30000000e-01   0.00000000e+00   1.00000000e+00   1.39353234e-01  -4.32117504e-05   9.67313239e-01   1.65782928e+00
 4.40000000e-01   0.00000000e+00   1.00000000e+00   1.43914889e-01  -8.19267253e-05   9.87632115e-01   1.64999664e+00
 4.50000000e-01   0.00000000e+00   1.00000000e+00   1.48258423e-01  -7.45875900e-05   1.00925284e+00   1.64323126e+00
 4.60000000e-01   0.00000000e+00   1.00000000e+00   1.52324095e-01  -1.68711702e-05   1.02894902e+00   1.63821674e+00
 4.70000000e-01   0.00000000e+00   1.00000000e+00   1.56137000e-01   6.81340110e-05   1.04637328e+00   1.63557559e+00
 4.80000000e-01   0.00000000e+00   1.00000000e+00   1.59655075e-01   1.45102962e-04   1.06272224e+00   1.63517424e+00
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.62755199e-01   1.89820974e-04   1.07705159e+00   1.63598516e+00
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.65406496e-01   1.93875879e-04   1.08585102e+00   1.63642007e+00
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.67764560e-01   1.56897027e-04   1.08779028e+00   1.63539410e+00
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.70037060e-01   8.50649299e-05   1.08623478e+00   1.63300367e+00
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.72332317e-01  -1.40977781e-06   1.08573591e+00   1.62991302e+00
 5.40000000e-01   0.00000000e+00   1.00000000e+00   1.74666683e-01  -6.89838694e-05   1.08845172e+00   1.62664851e+00
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.77009144e-01  -9.04228033e-05   1.09462494e+00   1.62383350e+00
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.79249057e-01  -6.29047309e-05   1.10379010e+00   1.62228547e+00
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.81197664e-01  -1.81595529e-06   1.11385654e+00   1.62242507e+00
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.82723109e-01   7.52163228e-05   1.12086743e+00   1.62401156e+00
