  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.14194866e-04   5.02260881e-07  -3.56611750e-01  -2.75549339e+00
 2.00000000e-02   0.00000000e+00   1.00000000e+00   8.69229251e-04   2.84338825e-05   1.49258609e+00   4.86584520e+00
 3.00000000e-02   0.00000000e+00   1.00000000e+00   1.88005649e-03   8.51363346e-05   8.41993543e-01   3.56712782e+00
 4.00000000e-02   0.00000000e+00   1.00000000e+00   3.10047705e-03   1.47774146e-04   7.25597446e-01   3.11585839e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   4.45295908e-03   2.02338842e-04   6.70024944e-01   2.85233818e+00
 6.00000000e-02   0.00000000e+00   1.00000000e+00   5.86652521e-03   2.39183515e-04   6.37660882e-01   2.68001481e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   7.31612897e-03   2.42741714e-04   6.12342622e-01   2.55594317e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   8.91891483e-03   2.03503878e-04   5.90739830e-01   2.46330302e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.09825364e-02   1.27815310e-04   5.73437286e-01   2.38924827e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.37845346e-02   4.41505084e-05   5.65006162e-01   2.33022080e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.72394263e-02  -1.21980442e-05   5.68003233e-01   2.28184332e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.09544025e-02  -2.65539170e-05   5.78464403e-01   2.24144069e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.46814902e-02  -5.36131782e-06   5.89587054e-01   2.20752677e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.84849791e-02   4.25539064e-05   5.99632611e-01   2.17981401e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.24014078e-02   1.12763130e-04   6.11095865e-01   2.15798704e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   3.62760488e-02   1.83895224e-04   6.23623669e-01   2.14030079e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   4.00205804e-02   2.19280675e-04   6.34300825e-01   2.12572917e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   4.37055342e-02   2.02964014e-04   6.42621205e-01   2.11237803e+00
