  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   3.16610990e-04  -3.49872801e-06   2.61098760e-01  -4.53872332e+00
 2.00000000e-02   0.00000000e+00   1.00000000e+00   1.14562430e-03   5.09766042e-05   2.69129319e+00   1.15476659e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   2.25536030e-03   1.38373849e-04   2.79869396e-01  -2.18243174e+00
 4.00000000e-02   0.00000000e+00   1.00000000e+00   3.52530596e-03   2.11292049e-04   1.03726344e+00   5.47355387e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   4.90622332e-03   2.63815016e-04   7.78532673e-01   6.06231064e-01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   6.31619078e-03   2.91796607e-04   7.30858537e-01   3.16966723e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   7.76197614e-03   2.72617333e-04   7.66409719e-01   1.66298764e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   9.42100435e-03   1.99037611e-04   6.78414535e-01   2.32242348e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.16587761e-02   8.56316501e-05   7.03197128e-01   1.93130686e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.46796619e-02  -1.18225895e-05   6.65865389e-01   2.02374418e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.82138217e-02  -4.98248157e-05   6.83334522e-01   1.91646943e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.18041722e-02  -3.30066685e-05   6.84549677e-01   1.89785776e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.53546674e-02   1.32312377e-05   6.97636657e-01   1.85815359e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.90584764e-02   8.22641839e-05   7.02748803e-01   1.83335466e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.28718885e-02   1.78962413e-04   7.13904192e-01   1.80840948e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   3.65516874e-02   2.59377907e-04   7.24989377e-01   1.79064263e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   4.00733630e-02   2.68726797e-04   7.34015646e-01   1.77638701e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   4.35651395e-02   2.10548729e-04   7.39256851e-01   1.76111894e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   4.70766886e-02   1.28858996e-04   7.43490691e-01   1.74331352e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   5.06755052e-02   4.69085722e-05   7.47358577e-01   1.72468505e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   5.44654524e-02  -2.96363925e-05   7.52819899e-01   1.70759904e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   5.84514097e-02  -7.75239288e-05   7.61874351e-01   1.69192149e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   6.25613319e-02  -6.87240417e-05   7.74173046e-01   1.67648159e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   6.66321340e-02   3.00690074e-06   7.88829365e-01   1.66225852e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   7.03681359e-02   1.06231317e-04   8.03548776e-01   1.65126290e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   7.36130951e-02   1.89418005e-04   8.13149586e-01   1.64453403e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   7.65819260e-02   2.28620257e-04   8.14549279e-01   1.63856312e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   7.96200804e-02   2.32619811e-04   8.11625661e-01   1.63129314e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   8.28606887e-02   1.98015361e-04   8.10226951e-01   1.62321455e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   8.62160378e-02   1.12862702e-04   8.11831935e-01   1.61459967e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   8.96326621e-02   5.23186805e-06   8.13915574e-01   1.60359677e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   9.32462568e-02  -6.96804090e-05   8.15665198e-01   1.59021141e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   9.72030106e-02  -8.48087450e-05   8.20400731e-01   1.57726724e+00
 3.40000000e-01   0.00000000e+00   1.00000000e+00   1.01425519e-01  -5.07403568e-05   8.31142867e-01   1.56690534e+00
 3.50000000e-01   0.00000000e+00   1.00000000e+00   1.05695612e-01   1.39829729e-05   8.46413422e-01   1.55923109e+00
 3.60000000e-01   0.00000000e+00   1.00000000e+00   1.09880821e-01   9.79640657e-05   8.62346624e-01   1.55329168e+00
