  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.56161651e-04   2.95653018e-06   1.12839892e-01  -2.54056783e+00
 2.00000000e-02   0.00000000e+00   1.00000000e+00   9.94851153e-04   3.83603664e-05   2.41130144e+00   6.38964394e+00
 3.00000000e-02   0.00000000e+00   1.00000000e+00   2.08835969e-03   1.05030989e-04   9.61373322e-01   1.82490134e+00
 4.00000000e-02   0.00000000e+00   1.00000000e+00   3.38703654e-03   1.79044889e-04   1.13208024e+00   3.43632017e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   4.80047642e-03   2.35423449e-04   8.14135364e-01   2.17969642e+00
 6.00000000e-02   0.00000000e+00   1.00000000e+00   6.24829177e-03   2.67380662e-04   9.10479196e-01   2.66185563e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   7.72906683e-03   2.62345248e-04   7.78046535e-01   2.18545827e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   9.41555725e-03   2.09091463e-04   8.06987510e-01   2.33879808e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.16634984e-02   1.18535607e-04   7.45397664e-01   2.12439495e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.46930910e-02   2.65455060e-05   7.59330721e-01   2.16460654e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.82754756e-02  -2.83962882e-05   7.41473095e-01   2.05520201e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.19698936e-02  -3.42899201e-05   7.59498254e-01   2.05583264e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.56443355e-02  -1.42139317e-06   7.57312361e-01   1.99531391e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.94548175e-02   5.87722877e-05   7.69810141e-01   1.98669039e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.33761274e-02   1.39132995e-04   7.75220021e-01   1.95374220e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   3.71918545e-02   2.14053044e-04   7.88388624e-01   1.94470893e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   4.08533192e-02   2.44147662e-04   7.94657703e-01   1.92479953e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   4.44532139e-02   2.15303669e-04   8.01857977e-01   1.91476962e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   4.80396463e-02   1.48706745e-04   8.05235670e-01   1.89700353e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   5.16904461e-02   7.08303062e-05   8.09430790e-01   1.88230413e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   5.55200605e-02  -2.95312814e-06   8.13953852e-01   1.86580629e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   5.95480596e-02  -5.49340878e-05   8.22680085e-01   1.85340557e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   6.37043182e-02  -6.26957587e-05   8.34294752e-01   1.84121973e+00
