  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   1.43536469e-04  -5.13109162e-06   1.22487139e+01  -1.65514736e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   6.81209802e-04   2.18368905e-05   1.01777021e+01   1.75584229e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   1.60050879e-03   5.54662802e-05   9.29044745e+00   1.70979397e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   2.70842469e-03   9.34547651e-05   8.76764766e+00   1.61250088e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   3.97857834e-03   1.28774485e-04   8.42330561e+00   1.54953946e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   5.34566170e-03   1.51428474e-04   8.17280802e+00   1.51336768e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   6.72592873e-03   1.57720109e-04   7.98080504e+00   1.48162749e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   8.28056656e-03   1.38664441e-04   7.81743060e+00   1.45744827e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.03163695e-02   1.00283046e-04   7.68658798e+00   1.44020475e+01
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.31320557e-02   5.30501813e-05   7.59450518e+00   1.42872343e+01
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.66619672e-02   1.77995850e-05   7.54154727e+00   1.41759686e+01
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.04173149e-02   5.56484207e-06   7.51682494e+00   1.40760094e+01
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.41346318e-02   1.40873037e-05   7.50591384e+00   1.39783676e+01
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.79449232e-02   3.89388739e-05   7.50023595e+00   1.38960131e+01
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.19042128e-02   7.57898087e-05   7.50501200e+00   1.38409679e+01
 1.60000000e-01   0.00000000e+00   1.00000000e+00   3.58695211e-02   1.15428745e-04   7.51851035e+00   1.37888129e+01
 1.70000000e-01   0.00000000e+00   1.00000000e+00   3.97700333e-02   1.38420229e-04   7.53245274e+00   1.37454300e+01
 1.80000000e-01   0.00000000e+00   1.00000000e+00   4.36797380e-02   1.33651826e-04   7.54498430e+00   1.37083810e+01
 1.90000000e-01   0.00000000e+00   1.00000000e+00   4.75872350e-02   1.06571352e-04   7.55545329e+00   1.36519431e+01
 2.00000000e-01   0.00000000e+00   1.00000000e+00   5.14411035e-02   6.84146551e-05   7.56326944e+00   1.35823468e+01
 2.10000000e-01   0.00000000e+00   1.00000000e+00   5.53631135e-02   2.86922672e-05   7.57112160e+00   1.35012175e+01
 2.20000000e-01   0.00000000e+00   1.00000000e+00   5.94575979e-02  -3.19429217e-06   7.58443235e+00   1.34298077e+01
 2.30000000e-01   0.00000000e+00   1.00000000e+00   6.36647007e-02  -1.57450101e-05   7.60878984e+00   1.33787027e+01
 2.40000000e-01   0.00000000e+00   1.00000000e+00   6.78371530e-02  -2.39269207e-06   7.64438089e+00   1.33300336e+01
 2.50000000e-01   0.00000000e+00   1.00000000e+00   7.16982707e-02   3.28042583e-05   7.68462825e+00   1.32752416e+01
 2.60000000e-01   0.00000000e+00   1.00000000e+00   7.50217977e-02   7.47420617e-05   7.71579460e+00   1.32119613e+01
 2.70000000e-01   0.00000000e+00   1.00000000e+00   7.79223855e-02   1.06951006e-04   7.72713839e+00   1.31417721e+01
 2.80000000e-01   0.00000000e+00   1.00000000e+00   8.07338100e-02   1.22085840e-04   7.72179540e+00   1.30725028e+01
 2.90000000e-01   0.00000000e+00   1.00000000e+00   8.37102068e-02   1.17941835e-04   7.71183857e+00   1.30104986e+01
 3.00000000e-01   0.00000000e+00   1.00000000e+00   8.68695164e-02   9.23053105e-05   7.70534495e+00   1.29574175e+01
 3.10000000e-01   0.00000000e+00   1.00000000e+00   9.00887853e-02   5.01765897e-05   7.70056285e+00   1.29062509e+01
 3.20000000e-01   0.00000000e+00   1.00000000e+00   9.33803665e-02   7.86606510e-06   7.69430106e+00   1.28472197e+01
 3.30000000e-01   0.00000000e+00   1.00000000e+00   9.68991928e-02  -1.79263092e-05   7.69072765e+00   1.27873095e+01
 3.40000000e-01   0.00000000e+00   1.00000000e+00   1.00682148e-01  -2.04350489e-05   7.69693102e+00   1.27427988e+01
 3.50000000e-01   0.00000000e+00   1.00000000e+00   1.04611618e-01  -1.83572496e-06   7.71452694e+00   1.27173997e+01
 3.60000000e-01   0.00000000e+00   1.00000000e+00   1.08585572e-01   3.15967092e-05   7.73998206e+00   1.27104028e+01
 3.70000000e-01   0.00000000e+00   1.00000000e+00   1.12547853e-01   7.11432789e-05   7.76883360e+00   1.27163422e+01
 3.80000000e-01   0.00000000e+00   1.00000000e+00   1.16409772e-01   1.04374028e-04   7.79595124e+00   1.27192074e+01
 3.90000000e-01   0.00000000e+00   1.00000000e+00   1.20121105e-01   1.17524125e-04   7.81528140e+00   1.27094042e+01
 4.00000000e-01   0.00000000e+00   1.00000000e+00   1.23835374e-01   1.04073491e-04   7.82520080e+00   1.26938415e+01
 4.10000000e-01   0.00000000e+00   1.00000000e+00   1.27835693e-01   7.03311264e-05   7.83341552e+00   1.26855656e+01
 4.20000000e-01   0.00000000e+00   1.00000000e+00   1.32241204e-01   2.97458986e-05   7.85262408e+00   1.26914806e+01
 4.30000000e-01   0.00000000e+00   1.00000000e+00   1.36888602e-01  -6.40316612e-06   7.88992707e+00   1.27041723e+01
 4.40000000e-01   0.00000000e+00   1.00000000e+00   1.41488120e-01  -2.95863087e-05   7.94178185e+00   1.27146922e+01
 4.50000000e-01   0.00000000e+00   1.00000000e+00   1.45821104e-01  -3.12941241e-05   7.99843143e+00   1.27195279e+01
 4.60000000e-01   0.00000000e+00   1.00000000e+00   1.49836303e-01  -8.24988010e-06   8.05237593e+00   1.27205109e+01
 4.70000000e-01   0.00000000e+00   1.00000000e+00   1.53597984e-01   3.10378776e-05   8.10325336e+00   1.27240581e+01
 4.80000000e-01   0.00000000e+00   1.00000000e+00   1.57114855e-01   7.06019372e-05   8.15364545e+00   1.27342843e+01
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.60267873e-01   9.69106464e-05   8.20065902e+00   1.27469193e+01
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.62968921e-01   1.03246380e-04   8.23569726e+00   1.27495541e+01
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.65311933e-01   8.82820013e-05   8.25438773e+00   1.27317441e+01
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.67483180e-01   5.49035662e-05   8.26176940e+00   1.26974838e+01
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.69603542e-01   1.22187720e-05   8.26667452e+00   1.26611121e+01
 5.40000000e-01   0.00000000e+00   1.00000000e+00   1.71718966e-01  -2.43312010e-05   8.27594242e+00   1.26338275e+01
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.73821536e-01  -4.03885408e-05   8.29378213e+00   1.26201468e+01
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.75790216e-01  -3.16706900e-05   8.32035782e+00   1.26171730e+01
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.77408140e-01  -3.80754533e-06   8.34872258e+00   1.26143000e+01
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.78549298e-01   3.42597592e-05   8.36746504e+00   1.26019118e+01
 5.90000000e-01   0.00000000e+00   1.00000000e+00   1.79338175e-01   7.24772636e-05   8.37059606e+00   1.25836881e+01
 6.00000000e-01   0.00000000e+00   1.00000000e+00   1.80059779e-01   9.84575120e-05   8.36266552e+00   1.25725299e+01
 6.10000000e-01   0.00000000e+00   1.00000000e+00   1.80906374e-01   1.01330501e-04   8.35311406e+00   1.25748009e+01
 6.20000000e-01   0.00000000e+00   1.00000000e+00   1.81871404e-01   7.92509569e-05   8.34711676e+00   1.25829297e+01
 6.30000000e-01   0.00000000e+00   1.00000000e+00   1.82886862e-01   4.12564285e-05   8.34373075e+00   1.25872438e+01
 6.40000000e-01   0.00000000e+00   1.00000000e+00   1.83971752e-01   1.20377361e-06   8.34164637e+00   1.25865988e+01
