  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   7.17289101e-04   8.00480256e-06   1.82993013e+00   2.44086257e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   2.30497010e-03   3.20570753e-05   1.94996876e+00   1.56230001e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   4.21277035e-03   6.00408979e-05   1.89706060e+00   1.04407357e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   6.29271705e-03   9.26462262e-05   1.83836573e+00   7.21192911e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   8.44714732e-03   1.28821702e-04   1.76703469e+00   5.24229202e+00
 6.00000000e-02   0.00000000e+00   1.00000000e+00   1.05178388e-02   1.64261325e-04   1.70232545e+00   4.06766702e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   1.24996870e-02   1.85710979e-04   1.64062093e+00   3.36668595e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.48334522e-02   1.85807362e-04   1.57808740e+00   2.93340857e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.85278450e-02   1.63683898e-04   1.50850939e+00   2.65174478e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   2.43706460e-02   1.25451815e-04   1.44916169e+00   2.43582629e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   3.20108311e-02   8.42178375e-05   1.42342141e+00   2.30026123e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   4.03133045e-02   5.12961181e-05   1.44133464e+00   2.20290259e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   4.86585251e-02   3.49399984e-05   1.46944923e+00   2.13689760e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   5.71655717e-02   3.76311269e-05   1.48991758e+00   2.08762745e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   6.57136853e-02   6.10093704e-05   1.51555876e+00   2.05431668e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   7.37945391e-02   9.58944463e-05   1.55212743e+00   2.03725602e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   8.12684830e-02   1.26116344e-04   1.58307128e+00   2.01906238e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   8.83468522e-02   1.41599537e-04   1.60085407e+00   1.99033550e+00
