  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00  -6.40430901e-05   1.45178291e-04   3.77287925e+00   3.24097586e+00
 2.00000000e-02   0.00000000e+00   1.00000000e+00  -1.17747620e-04   2.71677539e-04   2.34969384e+00   3.13697162e+00
 3.00000000e-02   0.00000000e+00   1.00000000e+00  -5.93736987e-05   3.43277684e-04   2.05551766e+00   2.86117974e+00
 4.00000000e-02   0.00000000e+00   1.00000000e+00   5.15637405e-05   3.82074109e-04   1.87250774e+00   2.63595672e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   3.15195879e-04   3.82464798e-04   1.75967070e+00   2.48061498e+00
 6.00000000e-02   0.00000000e+00   1.00000000e+00   8.81062917e-04   2.95782464e-04   1.67502050e+00   2.35420892e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   1.64048299e-03   1.29427021e-04   1.62208193e+00   2.24893730e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.85513658e-03  -6.35107350e-05   1.59648045e+00   2.15845495e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   3.05691057e-04  -1.62074838e-04   1.60009813e+00   2.08125408e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00  -3.35562094e-03  -1.27373044e-04   1.60241047e+00   2.02062023e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00  -7.78411252e-03  -3.14830902e-05   1.57041325e+00   1.98429546e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00  -1.13445363e-02   6.48285546e-05   1.50889709e+00   1.96354792e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00  -1.39696774e-02   1.90452698e-04   1.46216678e+00   1.94321484e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00  -1.64827092e-02   3.53274627e-04   1.44507481e+00   1.92371386e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00  -1.88014757e-02   4.31153690e-04   1.42329902e+00   1.90555374e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00  -2.04153752e-02   3.47744487e-04   1.39014402e+00   1.88565246e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00  -2.15323059e-02   1.88359457e-04   1.36997451e+00   1.87120358e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00  -2.23366563e-02   5.70975319e-05   1.35949590e+00   1.86857363e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00  -2.24736242e-02  -4.61949912e-05   1.34027896e+00   1.87007096e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00  -2.19571337e-02  -1.32601670e-04   1.32300484e+00   1.86854442e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00  -2.12602491e-02  -1.52071236e-04   1.31950874e+00   1.86378929e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00  -2.05214636e-02  -6.34654592e-05   1.31818872e+00   1.85823051e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00  -1.94205151e-02   1.11253174e-04   1.30901790e+00   1.85654266e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00  -1.72658407e-02   2.80832685e-04   1.28397623e+00   1.85750869e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00  -1.32338274e-02   3.54789368e-04   1.24290005e+00   1.84996191e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00  -7.31345383e-03   3.43148362e-04   1.21378717e+00   1.82986868e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00  -6.40553074e-04   2.98552456e-04   1.22277182e+00   1.80837282e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   5.50570446e-03   1.97341072e-04   1.26045674e+00   1.78691237e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   1.07213293e-02   1.87563050e-05   1.29669410e+00   1.76264015e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   1.54711949e-02  -1.45437158e-04   1.31532033e+00   1.74132988e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   2.01674850e-02  -1.94114517e-04   1.32533125e+00   1.72468565e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   2.45088281e-02  -1.32096841e-04   1.34375496e+00   1.70775023e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   2.80610137e-02  -2.09395157e-05   1.36663407e+00   1.68674948e+00
 3.40000000e-01   0.00000000e+00   1.00000000e+00   3.09813969e-02   1.03705650e-04   1.37735022e+00   1.66271759e+00
 3.50000000e-01   0.00000000e+00   1.00000000e+00   3.36586812e-02   2.34422589e-04   1.37604727e+00   1.63799041e+00
 3.60000000e-01   0.00000000e+00   1.00000000e+00   3.62012873e-02   3.42752594e-04   1.37497484e+00   1.61595825e+00
 3.70000000e-01   0.00000000e+00   1.00000000e+00   3.87172268e-02   3.63785186e-04   1.37345490e+00   1.59919312e+00
 3.80000000e-01   0.00000000e+00   1.00000000e+00   4.15051162e-02   2.62718782e-04   1.36529920e+00   1.58470814e+00
 3.90000000e-01   0.00000000e+00   1.00000000e+00   4.44520774e-02   9.59253942e-05   1.36110473e+00   1.56819438e+00
 4.00000000e-01   0.00000000e+00   1.00000000e+00   4.67130494e-02  -4.42209490e-05   1.37802070e+00   1.54929224e+00
 4.10000000e-01   0.00000000e+00   1.00000000e+00   4.75634875e-02  -1.27024009e-04   1.40788777e+00   1.53107607e+00
 4.20000000e-01   0.00000000e+00   1.00000000e+00   4.73103140e-02  -1.67551361e-04   1.42349632e+00   1.52089468e+00
 4.30000000e-01   0.00000000e+00   1.00000000e+00   4.70355496e-02  -1.43545834e-04   1.41122071e+00   1.52561523e+00
 4.40000000e-01   0.00000000e+00   1.00000000e+00   4.77148737e-02  -1.96919978e-05   1.37959948e+00   1.53929202e+00
 4.50000000e-01   0.00000000e+00   1.00000000e+00   4.96746898e-02   1.61315486e-04   1.34699808e+00   1.55111613e+00
 4.60000000e-01   0.00000000e+00   1.00000000e+00   5.26070514e-02   3.01368379e-04   1.32728219e+00   1.55728112e+00
 4.70000000e-01   0.00000000e+00   1.00000000e+00   5.61000069e-02   3.47857000e-04   1.31883220e+00   1.55837230e+00
 4.80000000e-01   0.00000000e+00   1.00000000e+00   6.02238309e-02   3.14895937e-04   1.30857140e+00   1.55797428e+00
 4.90000000e-01   0.00000000e+00   1.00000000e+00   6.53582554e-02   2.28795916e-04   1.29237628e+00   1.55974515e+00
 5.00000000e-01   0.00000000e+00   1.00000000e+00   7.14721638e-02   9.76422265e-05   1.28442926e+00   1.56430006e+00
 5.10000000e-01   0.00000000e+00   1.00000000e+00   7.80040307e-02  -6.02596682e-05   1.29425015e+00   1.56780561e+00
 5.20000000e-01   0.00000000e+00   1.00000000e+00   8.44382475e-02  -1.81340700e-04   1.31445783e+00   1.56714985e+00
 5.30000000e-01   0.00000000e+00   1.00000000e+00   9.05811963e-02  -1.95217971e-04   1.33439957e+00   1.56254388e+00
 5.40000000e-01   0.00000000e+00   1.00000000e+00   9.63912939e-02  -1.03717395e-04   1.35218196e+00   1.55557244e+00
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.02037411e-01   2.76687775e-05   1.36417675e+00   1.55080495e+00
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.08073793e-01   1.53522021e-04   1.36352175e+00   1.55032956e+00
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.15054484e-01   2.64904008e-04   1.35420285e+00   1.54943929e+00
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.22795101e-01   3.31826876e-04   1.35558434e+00   1.54158755e+00
 5.90000000e-01   0.00000000e+00   1.00000000e+00   1.30283725e-01   3.02404708e-04   1.38233561e+00   1.52627246e+00
 6.00000000e-01   0.00000000e+00   1.00000000e+00   1.36532445e-01   1.72359632e-04   1.42357511e+00   1.50434542e+00
 6.10000000e-01   0.00000000e+00   1.00000000e+00   1.41370978e-01   6.39510585e-06   1.45711989e+00   1.48063847e+00
 6.20000000e-01   0.00000000e+00   1.00000000e+00   1.45243656e-01  -1.22098825e-04   1.47405489e+00   1.46339842e+00
 6.30000000e-01   0.00000000e+00   1.00000000e+00   1.48453184e-01  -1.84608174e-04   1.48328503e+00   1.45115419e+00
 6.40000000e-01   0.00000000e+00   1.00000000e+00   1.50883518e-01  -1.83740102e-04   1.49465629e+00   1.43821835e+00
 6.50000000e-01   0.00000000e+00   1.00000000e+00   1.52344701e-01  -1.14683806e-04   1.50618145e+00   1.42330425e+00
 6.60000000e-01   0.00000000e+00   1.00000000e+00   1.52967089e-01   2.49641909e-05   1.50973520e+00   1.40939233e+00
 6.70000000e-01   0.00000000e+00   1.00000000e+00   1.53279600e-01   1.90875474e-04   1.49984530e+00   1.40199693e+00
 6.80000000e-01   0.00000000e+00   1.00000000e+00   1.53934663e-01   3.02246504e-04   1.48003802e+00   1.40366190e+00
 6.90000000e-01   0.00000000e+00   1.00000000e+00   1.55289782e-01   3.14667184e-04   1.45922207e+00   1.41054337e+00
 7.00000000e-01   0.00000000e+00   1.00000000e+00   1.57241838e-01   2.49590772e-04   1.44675769e+00   1.41646940e+00
 7.10000000e-01   0.00000000e+00   1.00000000e+00   1.59396418e-01   1.42377934e-04   1.44582305e+00   1.41910008e+00
 7.20000000e-01   0.00000000e+00   1.00000000e+00   1.61274571e-01   8.18061153e-06   1.45470644e+00   1.41840860e+00
 7.30000000e-01   0.00000000e+00   1.00000000e+00   1.62524186e-01  -1.25409432e-04   1.46892377e+00   1.41610021e+00
 7.40000000e-01   0.00000000e+00   1.00000000e+00   1.63280292e-01  -1.99443722e-04   1.47752778e+00   1.41882978e+00
 7.50000000e-01   0.00000000e+00   1.00000000e+00   1.64295006e-01  -1.69760620e-04   1.46862528e+00   1.43303516e+00
 7.60000000e-01   0.00000000e+00   1.00000000e+00   1.66378995e-01  -5.36330401e-05   1.44523423e+00   1.45400200e+00
 7.70000000e-01   0.00000000e+00   1.00000000e+00   1.69666480e-01   8.93236195e-05   1.42597420e+00   1.47034455e+00
 7.80000000e-01   0.00000000e+00   1.00000000e+00   1.73660236e-01   2.11490546e-04   1.42355584e+00   1.47807672e+00
 7.90000000e-01   0.00000000e+00   1.00000000e+00   1.77964345e-01   2.92412565e-04   1.43012292e+00   1.47920348e+00
 8.00000000e-01   0.00000000e+00   1.00000000e+00   1.82669664e-01   3.10913816e-04   1.43360659e+00   1.47907993e+00
 8.10000000e-01   0.00000000e+00   1.00000000e+00   1.87960162e-01   2.41729282e-04   1.43584017e+00   1.48095652e+00
 8.20000000e-01   0.00000000e+00   1.00000000e+00   1.93591730e-01   9.64130814e-05   1.44836258e+00   1.48276873e+00
 8.30000000e-01   0.00000000e+00   1.00000000e+00   1.98895224e-01  -6.12852797e-05   1.47664102e+00   1.47917402e+00
 8.40000000e-01   0.00000000e+00   1.00000000e+00   2.03195216e-01  -1.65169269e-04   1.51326342e+00   1.46840360e+00
 8.50000000e-01   0.00000000e+00   1.00000000e+00   2.06181433e-01  -1.93704431e-04   1.54485839e+00   1.45108128e+00
 8.60000000e-01   0.00000000e+00   1.00000000e+00   2.08004974e-01  -1.55493559e-04   1.56326009e+00   1.43238394e+00
 8.70000000e-01   0.00000000e+00   1.00000000e+00   2.09147044e-01  -5.72892893e-05   1.56815474e+00   1.42003137e+00
 8.80000000e-01   0.00000000e+00   1.00000000e+00   2.10153296e-01   8.59457708e-05   1.56282143e+00   1.41552007e+00
 8.90000000e-01   0.00000000e+00   1.00000000e+00   2.11312524e-01   2.25980981e-04   1.55374244e+00   1.41237251e+00
 9.00000000e-01   0.00000000e+00   1.00000000e+00   2.12438715e-01   2.99318528e-04   1.54995993e+00   1.40397071e+00
 9.10000000e-01   0.00000000e+00   1.00000000e+00   2.12959858e-01   2.76871493e-04   1.55773994e+00   1.38752014e+00
 9.20000000e-01   0.00000000e+00   1.00000000e+00   2.12340050e-01   1.81562109e-04   1.57369528e+00   1.36548037e+00
 9.30000000e-01   0.00000000e+00   1.00000000e+00   2.10519903e-01   5.50302208e-05   1.58625215e+00   1.34570838e+00
 9.40000000e-01   0.00000000e+00   1.00000000e+00   2.07916146e-01  -7.24204849e-05   1.58756216e+00   1.33594694e+00
 9.50000000e-01   0.00000000e+00   1.00000000e+00   2.04927137e-01  -1.70485344e-04   1.58122124e+00   1.33464698e+00
 9.60000000e-01   0.00000000e+00   1.00000000e+00   2.01538196e-01  -1.97016563e-04   1.57744771e+00   1.33401311e+00
 9.70000000e-01   0.00000000e+00   1.00000000e+00   1.97572837e-01  -1.28456609e-04   1.57774464e+00   1.33248745e+00
 9.80000000e-01   0.00000000e+00   1.00000000e+00   1.93260280e-01   7.26957138e-06   1.57097317e+00   1.33525644e+00
 9.90000000e-01   0.00000000e+00   1.00000000e+00   1.89324223e-01   1.50390081e-04   1.54907926e+00   1.34773900e+00
 1.00000000e+00   0.00000000e+00   1.00000000e+00   1.86470384e-01   2.55453428e-04   1.51714719e+00   1.36774147e+00
